total,speeding,alcohol,not_distracted,no_previous,abbrev
18.8,7.33,5.64,18.05,15.04,AL
18.1,7.42,4.53,16.29,17.01,AK
18.6,6.51,5.21,15.62,17.86,AZ
22.4,4.03,5.82,21.06,21.28,AR
12.0,4.2,3.36,10.92,10.68,CA
13.6,5.03,3.81,10.74,12.92,CO
10.8,4.97,3.89,9.4,8.86,CT
16.2,6.16,4.86,14.09,16.04,DE
5.9,2.01,1.59,5.9,5.9,DC
17.9,3.76,5.19,16.47,16.83,FL
15.6,2.96,3.9,14.82,14.51,GA
17.5,9.45,7.18,14.35,15.22,HI
15.3,5.51,4.44,13.0,14.99,ID
12.8,4.61,4.35,12.03,12.29,IL
14.5,3.62,4.2,13.78,13.78,IN
15.7,2.67,3.92,15.23,13.66,IA
17.8,4.81,4.27,13.71,15.13,KS
21.4,4.07,4.92,16.69,16.26,KY
20.5,7.18,6.76,14.96,20.09,LA
15.1,5.74,4.53,13.14,12.68,ME
12.5,4.25,4.0,8.88,12.38,MD
8.2,1.89,2.87,7.13,6.56,MA
14.1,3.38,3.95,13.4,10.86,MI
9.6,2.21,2.78,8.45,8.45,MN
17.6,2.64,5.46,1.76,17.6,MS
16.1,6.92,5.47,14.81,13.52,MO
21.4,8.35,9.42,17.98,18.19,MT
14.9,1.94,5.22,13.86,13.41,NE
14.7,5.44,4.7,13.96,14.55,NV
11.6,4.06,3.48,10.09,9.63,NH
11.2,1.79,3.14,9.63,8.74,NJ
18.4,3.5,4.97,12.33,18.03,NM
12.3,3.94,3.57,10.82,9.84,NY
16.8,6.55,5.21,15.79,13.61,NC
23.9,5.5,10.04,23.66,20.55,ND
14.1,3.95,4.79,13.96,11.56,OH
19.9,6.37,5.77,18.31,18.71,OK
12.8,4.22,3.33,8.58,11.52,OR
18.2,9.1,5.64,17.47,16.02,PA
11.1,3.77,4.22,10.21,8.77,RI
23.9,9.08,9.8,22.94,19.36,SC
19.4,6.01,6.4,19.01,16.68,SD
19.5,4.1,5.66,15.99,15.8,TN
19.4,7.76,7.37,17.65,16.88,TX
11.3,4.86,1.81,9.94,10.85,UT
13.6,4.08,4.08,13.06,12.92,VT
12.7,2.41,3.43,11.05,11.18,VA
10.6,4.45,3.5,8.69,9.12,WA
23.8,8.09,6.66,23.09,20.71,WV
13.8,4.97,4.55,5.38,11.59,WI
17.4,7.31,5.57,14.09,15.66,WY
